Series ID,Region Name,Region Code,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MEHOINUSORA646N,Oregon,41,21399,21894,24773,25038,27748,28529,29281,30190,31927,33138,31456,36374,35492,37247,39067,40619,42499,41273,41802,41638,40994,44159,47091,50236,51727,49098,50602,51526,51775,48999,58875,60834,59135,62498,69165,74413
MEHOINUSPAA646N,Pennsylvania,42,20346,22877,23807,25424,26742,28690,29005,30367,29882,30995,32066,34524,34899,37517,39015,37758,42176,43499,42498,42933,44106,46300,48477,48437,51402,48172,48314,49910,51904,55156,55173,60389,60979,61285,64524,70582
MEHOINUSRIA646N,Rhode Island,44,21612,24625,26540,28292,29842,30124,31968,30836,30432,33509,31928,35359,36986,34797,40686,42719,42197,45723,42417,44711,47935,49484,53736,54210,53241,51634,51623,49033,56065,56323,58633,55701,61528,65401,62266,70151
MEHOINUSSCA646N,South Carolina,45,20309,20036,21968,25049,25533,23798,28735,27463,27578,26053,29846,29071,34665,34262,33267,36462,37570,37736,37812,38479,38691,40230,39617,44213,42155,41101,41698,40084,44401,43563,44929,46360,54336,54537,57444,62028
MEHOINUSSDA646N,South Dakota,46,19409,18142,19898,21151,22294,24108,24571,24639,26259,27737,29733,29578,29526,29694,32786,35828,36475,39671,37873,39522,41107,43151,45427,46418,51600,45826,45352,47223,49415,53413,53053,55065,57450,56914,59463,64255
MEHOINUSTNA646N,Tennessee,47,16782,17778,18256,21179,20856,22611,22592,24453,24318,25102,28639,29015,30790,30636,34091,36522,34096,35783,37030,37523,38072,39406,40693,41195,39702,40517,38591,42279,42995,43361,43716,47330,51344,55306,56060,56627
MEHOINUSTXA646N,Texas,48,23024,23743,24162,24721,24963,25886,28228,27733,27953,28727,30755,32039,33072,35075,35783,38688,38609,40860,40149,39271,41397,41422,43307,46053,46490,47475,47266,49047,51926,51406,53875,56473,58146,60092,59785,67444
MEHOINUSUTA646N,Utah,49,23057,25238,26281,26529,26313,30717,30142,28016,34251,35786,35716,36480,37038,42775,44299,46050,47550,47342,47861,49275,50871,54813,54628,53529,62537,58491,56701,55493,58341,61047,63383,66258,67481,69789,77067,84523
MEHOINUSVTA646N,Vermont,50,22578,26000,24599,25415,28988,31295,31098,29155,32755,31065,35802,33824,32358,35053,39372,41584,39594,40794,42999,43261,47329,50704,51981,47390,50706,52318,55928,51862,55582,65513,60708,59494,60837,63682,70066,74305
MEHOINUSVAA646N,Virginia,51,26525,28429,29715,29996,32648,34118,35073,36137,38198,36433,37647,36222,39211,42957,43354,45693,47163,50241,49631,54783,51141,51914,57119,59161,61985,60501,60367,62616,64632,65907,66155,61486,66451,70811,77151,81313
MEHOINUSWAA646N,Washington,53,25017,24000,26881,27319,32327,31961,32112,33970,33900,35655,33533,35568,36676,44562,47421,45473,42525,42490,45183,47508,49922,50646,54723,58080,56631,60392,56163,56850,62187,63922,59068,67243,70310,71540,79726,82454
MEHOINUSWVA646N,West Virginia,54,16843,15983,16464,17207,19353,21677,22137,23147,20271,22421,23564,24880,25247,27488,26704,29297,29411,29673,29359,32763,33373,36445,38419,42091,37994,40490,42777,41821,43553,43069,39552,42824,44354,46957,50573,53706
MEHOINUSWIA646N,Wisconsin,55,20743,23246,26430,26369,29575,29123,30711,31133,33308,31766,35388,40955,40001,39595,41327,45667,45088,45346,45903,46269,45732,44650,51692,51277,51200,51237,50351,52058,53079,51726,58080,55425,59817,63482,62629,67355
MEHOINUSWYA646N,Wyoming,56,23816,22081,23559,27590,26419,29521,29460,29050,30209,29442,33140,31529,30953,33423,35250,37248,39629,39719,39763,42555,45397,44718,47041,48744,53337,52470,52201,54509,57512,67441,55690,60925,57829,59536,62539,65134
